time,logger,level,database,message,exception
2013-09-14 14:29:02.8890,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3195011072
  PollingInterval     = 00:02:00",
2013-09-14 14:29:03.3550,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-09-14 14:29:03.3550,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-09-14 14:29:06.1371,Raven.Database.Storage.IndexDefinitionStorage,Info,<system>,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-09-14 14:29:06.1691,Raven.Database.Indexing.IndexStorage,Debug,<system>,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2013-09-14 14:29:06.4142,Raven.Database.Indexing.Index.Indexing,Debug,<system>,Creating index for Raven/DocumentsByEntityName,
2013-09-14 14:29:06.4492,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2013-09-14 14:29:06.5172,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-09-14 14:29:06.5332,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-09-14 14:29:08.8333,Raven.Database.Server.HttpServer,Debug,,Request #   1: GET     -   110 ms - <system>   - 400 - /silverlight/Assets/Images/transformer_edit_delete.png,
2013-09-14 14:29:08.8333,Raven.Database.Server.HttpServer,Debug,,Request #   2: GET     -   110 ms - <system>   - 400 - /silverlight/Assets/Images/transformer_add_delete.png,
2013-09-14 14:29:09.0553,Raven.Database.Server.HttpServer,Debug,,Request #   3: GET     -    25 ms - <system>   - 200 - /docs?pageSize=0&noCache=-330628951,
2013-09-14 14:29:09.5653,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -   458 ms - <system>   - 200 - /databases?pageSize=1024&noCache=1517381748,
2013-09-14 14:29:09.6683,Raven.Database.Server.HttpServer,Debug,,Request #   5: GET     -   561 ms - <system>   - 200 - /silverlight/ensureStartup?noCache=1120938442,
2013-09-14 14:29:09.6683,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -    95 ms - <system>   - 200 - /build/version?noCache=-519536165,
2013-09-14 14:29:09.6783,Raven.Database.Server.HttpServer,Debug,<system>,Request #   7: GET     -   344 ms - <system>   - 200 - /changes/events?id=1/ibDmp,
2013-09-14 14:29:09.6783,Raven.Database.Server.HttpServer,Debug,,Request #   8: GET     -    13 ms - <system>   - 404 - /databases/%3Csystem%3E/docs/Raven/Alerts?noCache=-380323080,
2013-09-14 14:29:09.7103,Raven.Database.Server.HttpServer,Debug,,Request #   9: GET     -    41 ms - <system>   - 200 - /license/status?noCache=-529288604,
2013-09-14 14:29:10.2154,Raven.Database.Server.HttpServer,Debug,,"Request #  10: GET     - 1,110 ms - <system>   - 200 - /stats?noCache=-1164390701",
2013-09-14 14:29:10.3234,Raven.Database.Server.HttpServer,Debug,,Request #  11: GET     -   574 ms - <system>   - 200 - /debug/user-info?noCache=444894611,
2013-09-14 14:29:10.4014,Raven.Database.Server.HttpServer,Debug,,Request #  12: GET     -     3 ms - <system>   - 200 - /changes/config?id=1/ibDmp&command=watch-docs&noCache=1198359202,
2013-09-14 14:29:10.4014,Raven.Database.Server.HttpServer,Debug,,Request #  13: GET     -     3 ms - <system>   - 200 - /changes/config?id=1/ibDmp&command=watch-indexes&noCache=865039009,
2013-09-14 14:29:10.4014,Raven.Database.Server.HttpServer,Debug,,Request #  14: GET     -     4 ms - <system>   - 200 - /changes/config?id=1/ibDmp&command=watch-doc&value=Raven/Alerts&noCache=-587520417,
2013-09-14 14:29:10.4014,Raven.Database.Server.HttpServer,Debug,,Request #  15: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/ibDmp&command=watch-indexes&noCache=1229344049,
2013-09-14 14:29:10.4014,Raven.Database.Server.HttpServer,Debug,,Request #  16: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/ibDmp&command=watch-doc&value=Raven/Alerts&noCache=1482197043,
2013-09-14 14:29:10.4254,Raven.Database.Server.HttpServer,Debug,,Request #  17: GET     -     5 ms - <system>   - 404 - /docs/Raven/StudioConfig?noCache=503895175,
2013-09-14 14:29:10.4724,Raven.Database.Server.HttpServer,Debug,,Request #  18: GET     -     0 ms - <system>   - 200 - /license/status,
2013-09-14 14:29:10.4734,Raven.Database.Server.HttpServer,Debug,,Request #  19: GET     -     2 ms - <system>   - 200 - /plugins/status?noCache=-476076142,
2013-09-14 14:37:33.1361,Raven.Database.Server.HttpServer,Debug,,Request #  20: GET     -     0 ms - <system>   - 404 - /databases/EmberTinkererDB/docs/Raven/Replication/Destinations,
2013-09-14 14:37:33.2131,Raven.Database.Server.HttpServer,Debug,,Request #  21: GET     -     0 ms - <system>   - 404 - /docs/Raven/Databases/EmberTinkererDB,
2013-09-14 14:37:33.4572,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 2 because: PUT Raven/Databases/EmberTinkererDB,
2013-09-14 14:37:33.4572,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Databases/EmberTinkererDB with etag 01000000-0000-0001-0000-000000000001,
2013-09-14 14:37:33.4572,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2013-09-14 14:37:33.4572,Raven.Database.Server.HttpServer,Debug,,Request #  22: PUT     -   178 ms - <system>   - 200 - /admin/databases/EmberTinkererDB,
2013-09-14 14:37:33.4852,Raven.Database.Server.HttpServer,Debug,,Request #  23: GET     -    21 ms - <system>   - 200 - /stats?noCache=-1932350675,
2013-09-14 14:37:33.5312,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (Raven/Databases/EmberTinkererDB),
